y_true,mu_pred,sigma2,sigma
-0.002272693,0.0040388564,1.0178199e-05,0.003190329
0.009125544,0.0041217636,2.325145e-05,0.0048219757
-0.004359739,0.004196423,1.4582187e-05,0.003818663
-0.009488009,0.003862815,1.5257969e-05,0.003906145
-0.005211772,0.00397983,8.776768e-06,0.002962561
0.012479841,0.0041607902,1.7177637e-05,0.0041445913
0.011628226,0.0049144453,2.3977693e-05,0.0048967022
0.00035363325,0.0034446684,1.023514e-05,0.0031992404
0.009860924,0.0038391557,1.0823814e-05,0.0032899566
-0.00032253034,0.0042345054,7.2518174e-06,0.00269292
0.004689473,0.0037737382,9.77707e-06,0.0031268306
0.0050417525,0.004380403,1.148983e-05,0.0033896652
0.0015048855,0.0040677506,1.4032498e-05,0.0037459976
0.005969837,0.0037764546,1.3588526e-05,0.0036862618
-0.0076207356,0.0036534122,6.2731333e-06,0.0025046223
-0.0004107875,0.0033455733,1.7412343e-05,0.00417281
-0.011518232,0.004206813,1.8036659e-05,0.0042469585
0.0042405985,0.0043157735,2.4652945e-05,0.004965173
0.0054311533,0.0031182906,1.22122765e-05,0.0034946068
0.0029416871,0.003920576,2.1371301e-05,0.0046229106
0.015631713,0.0037473494,9.889394e-06,0.0031447408
0.015965713,0.003982729,1.0561135e-05,0.00324979
0.005153729,0.003922309,2.0247033e-05,0.00449967
0.009234161,0.0036104617,1.0558333e-05,0.0032493589
0.0045202533,0.0047649937,1.8514536e-05,0.0043028523
-0.01492459,0.0041330857,1.7683113e-05,0.004205129
0.00086236285,0.003614581,1.24907265e-05,0.0035342223
-0.0071237055,0.0038905772,1.27601725e-05,0.0035721383
-0.0007177928,0.0038030508,8.223977e-06,0.0028677476
-0.03633481,0.003939857,1.5961221e-05,0.00399515
-0.012935504,0.003787759,4.1346093e-06,0.0020333738
0.008457591,0.0041063977,1.4801525e-05,0.003847275
-0.009221565,0.0032036572,1.0276297e-05,0.0032056663
-0.026452359,0.0045788917,1.9370536e-05,0.004401197
0.0035059354,0.00391647,1.280764e-05,0.0035787763
0.00951016,0.0037844263,9.0295935e-06,0.0030049281
-0.019400435,0.0036610193,2.1869724e-05,0.004676508
-0.001050392,0.0040284363,6.700589e-06,0.0025885496
0.05881266,0.0032039243,9.6163385e-06,0.0031010222
0.01647224,0.004969927,1.6008958e-05,0.0040011196
-0.0015302419,0.0046959394,1.5945729e-05,0.0039932104
-0.010606094,0.00402758,2.3397333e-05,0.004837079
